name,salary,currency,organization,city,experience,link
Врач-офтальмолог (на амбулаторный прием в глаукомное поликлиническое отделение),от 70000,₽,ГБУЗ Самарская областная клиническая офтальмологическая больница имени Т.И.Ерошевского,Самара,Без опыта,https://samara.hh.ru/vacancy/89779972?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач методист,от 60000,₽,ГБУЗ Самарская областная клиническая офтальмологическая больница имени Т.И.Ерошевского,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/91690629?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Медицинская сестра участковая/Медицинский брат участковый,от 40000,₽,ГБУЗ СО Волжская Районная Клиническая Больница,Самара,Без опыта,https://samara.hh.ru/vacancy/93811367?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-офтальмолог (отделение лазерной микрохирургии),от 70000,₽,ГБУЗ Самарская областная клиническая офтальмологическая больница имени Т.И.Ерошевского,Самара,Без опыта,https://samara.hh.ru/vacancy/90896583?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Медицинская сестра палатная (постовая)/Медицинский брат палатный (постовой),от 25290,₽,ГБУЗ Самарский областной клинический противотуберкулезный диспансер им. Н.В. Постникова,Самара,Без опыта,https://samara.hh.ru/vacancy/85917785?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-рентгенолог (Череповец),,,БУЗ ВО Череповецкая городская Поликлиника № 1,Самара,Без опыта,https://samara.hh.ru/vacancy/93796938?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-гастроэнтеролог,от 60000,₽,ГБУЗ СО Волжская Районная Клиническая Больница,Самара,Без опыта,https://samara.hh.ru/vacancy/93809335?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-гинеколог,,,ООО Большая Медицина,Самара,Без опыта,https://samara.hh.ru/vacancy/93440582?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач анестезиолог-реаниматолог,35000 – 40000,₽,ФГБУ СКК Приволжский МО РФ,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93892290?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-уролог,от 60000,₽,ГБУЗ СО Волжская Районная Клиническая Больница,Самара,Без опыта,https://samara.hh.ru/vacancy/93809640?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Заведующий терапевтическим отделением - врач-терапевт,от 90000,₽,ГБУЗ СО Самарская городская больница №8,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/92205352?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-психиатр (Лебедевка),60000 – 100000,₽,ГБУЗ ТО Областная клиническая психиатрическая больница,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/92587460?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач физической и реабилитационной медицины,,,ФГБОУ ВО Самарский государственный медицинский университет МЗ РФ,Самара,Без опыта,https://samara.hh.ru/vacancy/83946498?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-терапевт (Кошелев),,,ООО Большая Медицина,Самара,Опыт от 3 до 6 лет,https://samara.hh.ru/vacancy/93851541?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-терапевт,160000 – 170000,₽,ОГБУЗ Киренская районная больница,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93811591?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-физиотерапевт,,,ФГБОУ ВО Самарский государственный медицинский университет МЗ РФ,Самара,Без опыта,https://samara.hh.ru/vacancy/92962028?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-офтальмолог,от 80000,₽,ГБУЗ СО Жигулевская центральная городская больница,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/91023496?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
