name,rating,count_mark,price,link,path
Кроссовки Jordan Stay Loyal 2 Nike,4.8,11 оценок,12 840 ₽,https://www.wildberries.ru/catalog/178985224/detail.aspx,C:\Users\pavel\Desktop\code\data markup\sem_07\кроссовки мужские Nike\Кроссовки Jordan Stay Loyal 2 Nike.jpg
Кроссовки CIVILIST X SB DUNK Thermography меняющие цвет Nike,4.8,11 оценок,2 911 ₽,https://www.wildberries.ru/catalog/195994411/detail.aspx,C:\Users\pavel\Desktop\code\data markup\sem_07\кроссовки мужские Nike\Кроссовки CIVILIST X SB DUNK Thermography меняющие цвет Nike.jpg
Кроссовки SB Dunk Low Toyota AE 86 nike,4.7,106 оценок,2 808 ₽,https://www.wildberries.ru/catalog/181443728/detail.aspx,C:\Users\pavel\Desktop\code\data markup\sem_07\кроссовки мужские Nike\Кроссовки SB Dunk Low Toyota AE 86 nike.jpg
Кроссовки беговые Downshifter 12 Nike,4.8,10 оценок,6 127 ₽,https://www.wildberries.ru/catalog/164759728/detail.aspx,C:\Users\pavel\Desktop\code\data markup\sem_07\кроссовки мужские Nike\Кроссовки беговые Downshifter 12 Nike.jpg
Кроссовки беговые Downshifter 12 Nike,4.8,10 оценок,6 127 ₽,https://www.wildberries.ru/catalog/164759746/detail.aspx,C:\Users\pavel\Desktop\code\data markup\sem_07\кроссовки мужские Nike\Кроссовки беговые Downshifter 12 Nike.jpg
Кроссовки удобные SB dunk повседневные CL,4.8,10 оценок,2 456 ₽,https://www.wildberries.ru/catalog/201351508/detail.aspx,C:\Users\pavel\Desktop\code\data markup\sem_07\кроссовки мужские Nike\Кроссовки удобные SB dunk повседневные CL.jpg
Кроссовки удобные SB dunk повседневные CL,4.8,10 оценок,2 456 ₽,https://www.wildberries.ru/catalog/201351505/detail.aspx,C:\Users\pavel\Desktop\code\data markup\sem_07\кроссовки мужские Nike\Кроссовки удобные SB dunk повседневные CL.jpg
Кроссовки удобные SB dunk повседневные CL,4.8,10 оценок,2 456 ₽,https://www.wildberries.ru/catalog/201351503/detail.aspx,C:\Users\pavel\Desktop\code\data markup\sem_07\кроссовки мужские Nike\Кроссовки удобные SB dunk повседневные CL.jpg
Кроссовки удобные SB dunk повседневные CL,4.8,10 оценок,2 456 ₽,https://www.wildberries.ru/catalog/201351510/detail.aspx,C:\Users\pavel\Desktop\code\data markup\sem_07\кроссовки мужские Nike\Кроссовки удобные SB dunk повседневные CL.jpg
Кроссовки удобные SB dunk повседневные 58 golf dunk CL,4.8,10 оценок,2 456 ₽,https://www.wildberries.ru/catalog/201351509/detail.aspx,C:\Users\pavel\Desktop\code\data markup\sem_07\кроссовки мужские Nike\Кроссовки удобные SB dunk повседневные 58 golf dunk CL.jpg
