name,salary,currency,organization,city,experience,link
Финансовый аналитик,до 67000,₽,"МАГНИТ, Розничная сеть",Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/86317215?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Системный аналитик,,,Сбер для экспертов,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/92927496?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Аналитик в команду WFM,от 60000,₽,Яндекс Крауд,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/92720758?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Системный аналитик (платформа Автокредитование),,,ООО ГК Иннотех | Финтех (Иннотех),Самара,Опыт от 3 до 6 лет,https://samara.hh.ru/vacancy/82127745?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Специалист нормативно-справочной информации (НСИ)/Аналитик,,,ООО РН-Учет,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/92843684?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Ведущий финансовый бизнес-аналитик,от 120000,₽,ВИТА,Самара,Опыт от 3 до 6 лет,https://samara.hh.ru/vacancy/91073887?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Менеджер по персоналу,от 44000,₽,GSR РАБОТА,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93559425?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Ведущий инженер (руководитель проекта),от 55000,₽,ГКУ СО Безопасный регион,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/89161431?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Business Analyst в IT,,,ИТ-Сервис,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/92572961?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Программист,,,ЭЛЕКТРОЩИТ САМАРА,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/92242549?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Директолог / Контекстолог / Специалист по контекстной рекламе (удаленно),до 100000,₽,ООО Деломатика,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/92888984?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Менеджер по подбору персонала / Рекрутер,70000 – 95000,₽,Changellenge,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/94021470?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Системный аналитик (Центр разработки продуктов для физических лиц),,,Бэнкс Софт Системс,Самара,Без опыта,https://samara.hh.ru/vacancy/91311201?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Начальник сектора со знанием СУВД и Jira,,,Сбер для экспертов,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93977668?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Senior .Net разработчик,,,ООО Норд Клан,Самара,Опыт от 3 до 6 лет,https://samara.hh.ru/vacancy/94046289?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Менеджер по работе с мастер данными,,,Объединенные Пивоварни,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93983294?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
SEO-специалист (в офисе),70000 – 120000,₽,Hi Store,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93806618?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Программист 1С,до 230000,₽,РБК,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93928910?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
