name,salary,currency,organization,city,experience,link
Ведущий Инженер-конструктор (расчетчик),от 120000,₽,ООО Комплексные Проекты в Экологии и Энергетике,Самара,Опыт от 3 до 6 лет,https://samara.hh.ru/vacancy/91990808?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Инженер по нагрузочному тестированию,,,Сбер для экспертов,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/92090602?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Инженер 1 категории Отдела администрирования проектов (Экономист),44290 – 57577,₽,СамараНИПИнефть,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93209781?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Старший специалист по подбору и адаптации персонала,до 57800,₽,ООО РН-Учет,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/90260608?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
"PHP-разработчик (fullstack, backend)",,,ООО Открытый код,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/91730642?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Менеджер по маркетингу в Параплан г. Самара,,,Haulmont,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93464541?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Бухгалтер по банковским операциям,от 55000,₽,АО Зарубежнефть,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93437060?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
1С-разработчик Senior,до 280000,₽,Контур,Самара,Опыт от 3 до 6 лет,https://samara.hh.ru/vacancy/93295118?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Fullstack-тестировщик,,,Сбер для экспертов,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93069112?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Национальный КАМ,,,ДАЛИМО,Самара,Опыт от 3 до 6 лет,https://samara.hh.ru/vacancy/92747198?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
C# Developer (Senior/Middle),,,Сбер для экспертов,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/92775453?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
