name,salary,url,organization,address,experience
Тренинг-менеджер,,https://samara.hh.ru/vacancy/93360854?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Ozon Fintech,,1–3 года
Системный аналитик,,https://samara.hh.ru/vacancy/92574783?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Сбер для экспертов,,1–3 года
Куратор в онлайн сервис (удаленно),40000-40000 ₽,https://samara.hh.ru/vacancy/93149716?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ООО Ойком,,1–3 года
Аналитик 1 С,150000-230000 ₽,https://samara.hh.ru/vacancy/93241269?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ООО Ракета,,1–3 года
"Финансист, удаленно",90000-125000 ₽,https://samara.hh.ru/vacancy/93337051?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,BIZNESKRUCHE,,3–6 лет
Системный аналитик (бизнес-аналитик),,https://samara.hh.ru/vacancy/92572961?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ИТ-Сервис,"Самара, улица Ярмарочная, 55, 13эт.",1–3 года
System Analyst/Системный Аналитик,,https://samara.hh.ru/vacancy/92506603?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Magenta Technology,,1–3 года
Аналитик-консультант 1С,100000-150000 ₽,https://samara.hh.ru/vacancy/93677310?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ООО Бизнес Навигатор,"Самара, улица Академика Павлова",3–6 лет
Маркетолог,68000-79000 ₽,https://samara.hh.ru/vacancy/94217968?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Аптеки Плюс,", Волжское шоссе, 101Самара",1–3 года
Системный аналитик (стажер),40000-80000 ₽,https://samara.hh.ru/vacancy/90599166?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ООО Производственная Безопасность и Экология,,1–3 года
Специалист нормативно-справочной информации (НСИ)/Аналитик,,https://samara.hh.ru/vacancy/94201272?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ООО РН-Учет,", улица Советской Армии, 243Самара",1–3 года
Старший специалист по продажам малому и среднему бизнесу,,https://samara.hh.ru/vacancy/93123737?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,билайн,,1–3 года
Бизнес-аналитик,,https://samara.hh.ru/vacancy/84642394?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ООО СМС-ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ,", Московское шоссе, 4к4Самара",1–3 года
Системный аналитик (бизнес-аналитик),,https://samara.hh.ru/vacancy/93871111?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,"Программные Технологии, г. Самара",", , Московское шоссе, 4аРоссийскаяАлабинскаяСамара",не требуется
Специалист по региональному маркетингу,,https://samara.hh.ru/vacancy/93519403?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ПКК ВЕСНАОАО ,,1–3 года
Ведущий программист 1С,,https://samara.hh.ru/vacancy/93768578?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Группа страховых компаний ЮгорияАО ,,3–6 лет
Системный аналитик (приложение для торговли ценными бумагами и валютой),,https://samara.hh.ru/vacancy/93671713?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ООО Совкомбанк Технологии,,1–3 года
Младший экономист-аналитик,39000 ₽,https://samara.hh.ru/vacancy/93550627?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ГБУ СО Информационно-Технический Центр Ценообразования,"АлабинскаяСамара, Садовая улица, 292, ",не требуется
Старший аналитик по обращаемости клиентов,,https://samara.hh.ru/vacancy/94048565?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,"ПАО МегаФон, Офис",", Московское шоссе, 15Самара",1–3 года
Руководитель группы разработки (Team Lead),,https://samara.hh.ru/vacancy/93953379?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Bell Integrator,,более 6 лет
Маркетолог/трафик-менеджер в отдел онлайн-продаж,40000-120000 ₽,https://samara.hh.ru/vacancy/94069496?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Web Avenue,,1–3 года
Разработчик C#,,https://samara.hh.ru/vacancy/94046289?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ООО Норд Клан,,3–6 лет
Экономист в строительную компанию,до 120000 ₽,https://samara.hh.ru/vacancy/92408079?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Алабуга. Экономика и аналитика,", Особая экономическая зона АлабугаЕлабужский район",1–3 года
Специалист по подбору персонала (Массовый подбор),70000-95000 ₽,https://samara.hh.ru/vacancy/94021470?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Changellenge,,1–3 года
Ведущий бухгалтер,40000 ₽,https://samara.hh.ru/vacancy/91084765?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Самарский пансионат для детей-инвалидов,", Нагорная улица, 15Самара",3–6 лет
