name,salary,url,organization,address,experience
Аналитик SQL- Качества данных,,https://samara.hh.ru/vacancy/82127745?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ООО ГК Иннотех | Финтех (Иннотех),,3–6 лет
Системный аналитик (бизнес-аналитик),,https://samara.hh.ru/vacancy/92712977?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ООО Открытый код,"АлабинскаяСамара, Ярмарочная улица, 55, ",1–3 года
Системный аналитик (middle),,https://samara.hh.ru/vacancy/77987709?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Бэнкс Софт Системс,,1–3 года
Системный аналитик 1С,,https://samara.hh.ru/vacancy/94070491?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,"ИНТЕГРА-С, Самара","Самара, улица Стара Загора, 96А",1–3 года
Специалист по отчетности,90000 ₽,https://samara.hh.ru/vacancy/93352870?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Фирма Нектар,"СамараПобеда, проезд Мальцева, 9, ",3–6 лет
Помощник / Ассистент менеджера,40000-45000 ₽,https://samara.hh.ru/vacancy/89001242?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,АО Концерн Энерготехнологии,", улица Санфировой, 95Самара",1–3 года
Системный аналитик,,https://samara.hh.ru/vacancy/94189013?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,"ХОСТ, Группа компаний",,1–3 года
Менеджер отдела маркетинга (стажер),35000-50000 ₽,https://samara.hh.ru/vacancy/94185047?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ООО ДревоУсловия для менеджеров,"МосковскаяСамара, Неверова, 33, ",не требуется
Старший аналитик по обращаемости клиентов,,https://samara.hh.ru/vacancy/93669873?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,"ПАО МегаФон, Офис",", Московское шоссе, 15Самара",1–3 года
Специалист службы поддержки,65000 ₽,https://samara.hh.ru/vacancy/89294752?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,«МТС» ПАО ,", Аэродромная улица, 45АСамара",1–3 года
QA Engineer Java (стажер),70000-80000 ₽,https://samara.hh.ru/vacancy/94136329?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Aston,,не требуется
Менеджер отдела маркетинга (стажер),69000 ₽,https://samara.hh.ru/vacancy/93352632?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Фирма Нектар,"СамараПобеда, проезд Мальцева, 9, ",не требуется
Младший бизнес-аналитик,60000 ₽,https://samara.hh.ru/vacancy/93223609?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ООО Омниканальный Помощник,,1–3 года
Аналитик по направлению ценообразования,46000-69000 ₽,https://samara.hh.ru/vacancy/93441168?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Аптеки Плюс,", Волжское шоссе, 101Самара",1–3 года
Аналитик на базе Excel,70000-70000 ₽,https://samara.hh.ru/vacancy/92952762?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ВИТА,"Самара, улица Куйбышева, 110",1–3 года
Старший аналитик клиентского опыта,,https://samara.hh.ru/vacancy/93800397?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ФУДЖИ FRIENDS,,3–6 лет
Аналитик BI,70000-85000 ₽,https://samara.hh.ru/vacancy/93876929?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ВИТА,"Самара, улица Куйбышева, 110",1–3 года
"Системный аналитик 1С (стажер, 0.5 ставки)",до 40000 ₽,https://samara.hh.ru/vacancy/94021180?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,РБК,,1–3 года
Консультант (стажер) SAP BW/BI,100000-100000 ₽,https://samara.hh.ru/vacancy/93680507?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ООО СКИФМЬЮЗИК,,1–3 года
Старший аналитик по обращаемости клиентов,50000-100000 ₽,https://samara.hh.ru/vacancy/93443376?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Сеть магазинов цифровой и бытовой техники DNS,", Октябрьский район, 4-й проезд, 57Самара",1–3 года
